discounted_price,id,name,price
340,CG3673,Ultraboost Parley Shoes,340
340,DB0641,Ultraboost X Parley Shoes,340
340,DB0925,Ultraboost ST Parley Shoes,340
280,B27771,adidas x UNDEFEATED Adizero Adios 3 Shoes,280
210,AC8765,Arkyn Shoes,210
210,CQ2748,Arkyn Shoes,210
210,DA9604,Arkyn Shoes,210
210,CQ3026,F/22 Primeknit Shoes,210
210,CQ2749,Arkyn Shoes,210
210,DA9606,Arkyn Shoes,210
210,CQ3025,F/22 Primeknit Shoes,210
210,CQ3027,F/22 Primeknit Shoes,210
170,AC8704,Deerupt Runner Shoes,170
170,AC8728,Deerupt Runner Shoes,170
170,CQ2627,Deerupt Runner Shoes,170
170,CQ2628,Deerupt Runner Shoes,170
170,CQ2629,Deerupt Runner Shoes,170
170,CQ2911,Deerupt Runner Shoes,170
170,CQ2912,Deerupt Runner Shoes,170
170,CQ2913,Deerupt Runner Shoes,170
340,AC8597,NMD_CS1 PARLEY PK,340
340,BY8888,Ultraboost Clima Shoes,340
340,CG3946,Ultraboost X Clima Shoes,340
300,BB6179,Ultraboost Shoes,300
340,CQ0022,Ultraboost Clima Shoes,340
150,CG4762,Alphabounce Beyond Shoes,150
150,DB0206,Alphabounce Beyond Shoes,150
300,BB6163,Ultraboost X Shoes,300
180,B22681,Prophere Shoes,180
180,DA9616,Prophere Shoes,180
200,AC7019,Alphabounce Kolor Shoes,200
200,AC7020,Alphabounce Kolor Shoes,200
150,AC8274,Alphabounce Beyond Shoes,150
150,AC8634,Alphabounce Beyond Shoes,150
150,BW1247,Alphabounce Beyond Shoes,150
150,CG4763,Alphabounce Beyond Shoes,150
150,CQ0784,Alphabounce 1 Parley Shoes,150
140,CQ1491,Alphabounce 1 Parley Shoes,140
180,DA9975,adidas x Reigning Champ Alphabounce Beyond Shoes,180
150,DA9992,Alphabounce 1 Parley Shoes,150
150,DB0204,Alphabounce Beyond Shoes,150
150,DB0205,Alphabounce Beyond Shoes,150
150,DB0208,Alphabounce Beyond Shoes,150
150,DB0673,Alphabounce Beyond Shoes,150
200,CQ1255,Alphabounce Kolor Shoes,200
220,AH2215,Harden Vol. 2 Shoes,220
210,CG5509,Tubular Doom Sock Primeknit Shoes,210
210,CG5510,Tubular Doom Sock Primeknit Shoes,210
170,CQ0946,Tubular Doom Sock Primeknit Shoes,170
170,CQ0950,Tubular Doom Sock Primeknit Shoes,170
170,CQ2451,Tubular Doom Sock Primeknit Shoes,170
170,CQ2452,Tubular Doom Sock Primeknit Shoes,170
200,CQ2510,Tubular Dawn Shoes,200
200,CQ2511,Tubular Dawn Shoes,200
150,CQ3013,Tubular Viral 2.0 Shoes,150
140,CM8077,Superstar Shoes,140
140,CM8078,Superstar Shoes,140
90,CQ2728,Superstar Shoes,90
220,DB2152,Superstar 80s Shoes,220
220,S76540,Superstar 80s Shoes,220
200,AC7352,EQT Bask ADV Shoes,200
170,CQ2160,EQT ADV Racing Shoes,170
170,CQ2161,EQT ADV Racing Shoes,170
150,CQ2198,Stan Smith Shoes,150
140,CQ2469,Stan Smith Shoes,140
170,CQ2632,Stan Smith Shoes,170
170,CQ2830,Stan Smith Bold Shoes,170
210,CQ2900,Stan Smith Nuud Shoes,210
200,CQ2902,Stan Smith Sock Primeknit Shoes,200
200,CQ3031,Stan Smith Leather Sock Shoes,200
200,CQ3032,Stan Smith Primeknit Shoes,200
140,DA9145,Stan Smith Shoes,140
200,BB6295,Pureboost DPR Shoes,200
150,CQ2023,Swift Run Shoes,150
150,CQ2025,Swift Run Shoes,150
150,CQ2120,Swift Run Shoes,150
150,CQ2121,Swift Run Shoes,150
100,CQ2599,Swift Run Shoes,100
200,CQ2895,Swift Run Primeknit Shoes,200
200,CQ2896,Swift Run Primeknit Shoes,200
90,DA9835,Cloudfoam QT Flex Shoes,90
90,DB0242,Cloudfoam QT Flex Shoes,90
100,DB0893,Cloudfoam Advantage Clean Shoes,100
100,DB1589,Cloudfoam Lite Racer CC Shoes,100
100,DB1590,Cloudfoam Lite Racer CC Shoes,100
100,DB1699,Cloudfoam Lite Racer CC Shoes,100
100,DB1701,Cloudfoam Lite Racer CC Shoes,100
240,BB6089,Pureboost X Clima Shoes,240
240,BY8895,Pureboost Clima Shoes,240
200,BB6297,Pureboost DPR Shoes,200
240,BY8896,Pureboost Clima Shoes,240
240,BY8898,Pureboost Clima Shoes,240
240,BY8899,Pureboost Clima Shoes,240
220,CG3529,Pureboost X TR 3.0 Shoes,220
300,CM7411,Predator 18.1 Firm Ground Boots,300
200,CP9293,Predator 18.2 Firm Ground Boots,200
90,CP9012,Predator 18.3 Firm Ground Boots,90
90,CP9042,Predator Tango 18.3 Turf Boots,90
130,CP9280,Predator Tango 18.3 Turf Boots,130
130,CP9304,Predator 18.3 Firm Ground Boots,130
300,CP9163,X 17.1 Firm Ground Boots,300
200,CP9189,X 17.2 Firm Ground Boots,200
90,CP8993,X 17.3 Firm Ground Boots,90
120,CP9194,X 17.3 Firm Ground Boots,120
350,CP8935,Nemeziz 17.1 Firm Ground Boots,350
200,CP8973,Nemeziz 17.2 Firm Ground Boots,200
130,CP8989,Nemeziz 17.3 Firm Ground Boots,130
130,CP9101,Nemeziz Tango 17.3 Turf Boots,130
100,CP9167,Nemeziz 17.3 Firm Ground Boots,100
